MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Label,Filename
-508.146,120.30737,72.85199,42.286537,33.19828,28.54262,20.09533,15.799615,17.42402,16.387201,9.475134,5.292325,8.126162,Al,101_1b1_Al_sc_Meditron.wav
-581.5527,104.605606,54.158756,31.561647,36.30763,38.613052,27.254862,18.16716,18.217674,16.491606,8.524858,4.828857,9.505087,Pr,101_1b1_Pr_sc_Meditron.wav
-575.2239,121.531075,49.438732,21.40284,36.42361,45.382824,29.014275,9.232926,3.834398,6.834829,9.137134,8.368733,4.3517056,Ar,102_1b1_Ar_sc_Meditron.wav
-405.31702,82.53877,50.350357,33.341373,30.594347,27.878607,20.453075,15.663853,14.61502,12.609977,9.430285,8.815304,9.985469,Ar,103_2b2_Ar_mc_LittC2SE.wav
-443.81195,130.90964,81.34255,34.327435,8.61464,2.7515042,6.1802,11.1933,15.282767,17.79398,18.056541,16.259388,13.592621,Al,104_1b1_Al_sc_Litt3200.wav
-464.36963,150.5,85.561775,28.590519,3.7459965,2.5255668,5.7201147,6.425397,9.011582,15.037921,19.015516,16.646397,10.58559,Ar,104_1b1_Ar_sc_Litt3200.wav
-575.19696,136.62968,84.35003,37.542187,14.488375,10.236418,12.595245,15.172973,16.961582,17.588886,16.668468,14.909161,12.837121,Ll,104_1b1_Ll_sc_Litt3200.wav
-424.33386,96.541626,67.45893,38.980038,19.624557,10.527129,9.151241,12.45814,17.164545,20.32291,20.480507,18.230793,15.031142,Lr,104_1b1_Lr_sc_Litt3200.wav
-397.4948,140.55164,87.60252,38.087296,9.485411,-1.8356842,-4.0759945,0.16477081,9.121962,17.040607,18.540325,14.271381,8.910102,Pl,104_1b1_Pl_sc_Litt3200.wav
-561.8401,98.439186,65.56656,34.671597,15.038179,6.3875995,5.5271096,10.047721,16.647028,21.237392,21.686892,19.077276,15.524163,Pr,104_1b1_Pr_sc_Litt3200.wav
-332.47348,188.3937,-19.566334,-41.97405,16.99853,18.18177,7.1409454,4.209257,2.3094301,0.8569843,7.8682303,13.354243,3.4313588,Tc,105_1b1_Tc_sc_Meditron.wav
-447.75775,114.71406,43.017845,45.19345,28.976997,28.016487,17.144375,16.595284,9.099002,9.574561,3.9603167,4.944506,0.98625696,Pl,106_2b1_Pl_mc_LittC2SE.wav
-483.17825,91.57855,70.23469,51.11626,38.62021,33.202938,30.215572,26.82733,22.337896,17.808699,13.945695,11.131449,9.123554,Pr,106_2b1_Pr_mc_LittC2SE.wav
-315.9488,125.49866,63.486183,40.716106,34.81042,29.236032,23.356087,19.30187,16.507177,13.407451,11.1086035,9.795604,7.005027,Al,107_2b3_Al_mc_AKGC417L.wav
-297.56415,138.95755,69.17426,35.37969,30.225004,26.531181,20.269302,16.426723,13.388065,10.060396,7.9547586,7.742096,7.533968,Ar,107_2b3_Ar_mc_AKGC417L.wav
-277.52338,110.07546,43.527554,40.44114,26.452463,27.134056,16.390112,19.405798,12.222465,14.086429,7.3911057,9.48647,4.3227353,Ll,107_2b3_Ll_mc_AKGC417L.wav
-240.53503,99.934044,30.721163,39.30771,31.073982,28.85534,19.12076,19.87473,16.234814,17.151321,11.018756,12.855336,7.7042627,Lr,107_2b3_Lr_mc_AKGC417L.wav
-258.27026,171.96735,68.00827,35.927315,15.7339115,11.204963,9.232167,9.722055,7.3783364,6.6177373,6.0466924,6.4672503,4.1604757,Pl,107_2b3_Pl_mc_AKGC417L.wav
-221.12746,141.57338,62.880325,42.41013,19.569674,14.755433,6.971325,10.56142,6.8863735,9.605015,6.5983233,8.521412,4.524197,Pr,107_2b3_Pr_mc_AKGC417L.wav
-350.05542,149.4426,70.4584,27.916445,18.944443,12.034264,4.041325,8.479254,18.718029,20.272045,14.924578,12.930203,13.098751,Tc,107_2b3_Tc_mc_AKGC417L.wav
-308.9651,131.98462,62.605686,36.436867,32.066147,28.606787,23.00481,17.889692,14.735408,12.247431,10.291952,9.093799,7.0967364,Al,107_2b4_Al_mc_AKGC417L.wav
-298.43466,140.68944,63.174263,33.841003,32.43202,28.377943,21.635628,17.0878,14.047508,11.493226,9.38331,8.894323,8.525759,Ar,107_2b4_Ar_mc_AKGC417L.wav
-283.76215,103.47106,40.812115,40.267284,27.054995,27.839449,17.135136,19.285265,12.478619,14.426602,9.161697,10.720756,5.179238,Ll,107_2b4_Ll_mc_AKGC417L.wav
-240.84564,100.15264,30.42886,38.738983,30.312998,27.954475,18.725464,18.216831,15.369311,17.353958,11.832399,12.198792,7.332235,Lr,107_2b4_Lr_mc_AKGC417L.wav
-304.79135,148.95392,72.4089,39.83126,22.377386,15.1997595,12.416014,10.200094,8.818048,8.40954,8.317957,7.7723007,5.9816713,Pl,107_2b4_Pl_mc_AKGC417L.wav
-229.35397,136.57109,62.326283,43.865547,21.133173,16.943691,9.076334,11.195454,7.980909,10.409646,7.506133,8.7853775,5.5263762,Pr,107_2b4_Pr_mc_AKGC417L.wav
-332.17868,163.1504,69.66519,22.690308,16.84233,11.2192335,0.117544405,2.4350908,16.099554,20.606623,12.790458,8.731521,9.253944,Tc,107_2b4_Tc_mc_AKGC417L.wav
-309.31674,129.23064,64.197586,37.66557,33.00342,28.491472,21.92624,17.215677,14.489312,12.283546,10.797126,9.548678,7.1127214,Al,107_2b5_Al_mc_AKGC417L.wav
-302.35538,118.27091,48.90029,36.426807,33.665894,22.869684,18.99666,16.441822,13.583385,10.29444,7.8097763,8.590901,8.173843,Ar,107_2b5_Ar_mc_AKGC417L.wav
-277.90363,106.16917,41.07429,39.0007,27.859556,29.23314,16.846981,18.006142,11.624891,13.5689125,9.387022,10.165388,5.8394785,Ll,107_2b5_Ll_mc_AKGC417L.wav
-238.93422,106.96038,35.69711,39.447956,31.12242,29.45058,18.55287,18.862476,14.966075,16.571966,11.829441,12.058542,6.9595037,Lr,107_2b5_Lr_mc_AKGC417L.wav
-271.44095,182.13689,75.61995,32.626,14.493068,8.683398,8.243617,7.446092,6.453544,5.9321423,5.585658,4.9411674,3.377362,Pl,107_2b5_Pl_mc_AKGC417L.wav
-205.44203,157.19078,64.064095,37.99006,13.843743,11.754841,5.2825,9.523864,6.835275,10.353683,7.0211782,8.3988285,4.3894887,Pr,107_2b5_Pr_mc_AKGC417L.wav
-328.6959,145.8827,74.22678,30.114096,18.177141,12.922402,7.4083385,11.901204,19.98193,18.638424,10.998676,8.679336,10.063243,Tc,107_2b5_Tc_mc_AKGC417L.wav
-273.62396,100.60819,38.8153,37.57919,24.919064,23.544127,16.863766,16.768106,12.733994,12.742697,8.602617,10.953352,6.2631307,Al,107_3p2_Al_mc_AKGC417L.wav
-318.72934,119.83242,56.609276,35.560696,31.701227,25.4941,19.700066,17.585989,15.847747,12.913069,10.999723,9.580066,8.103489,Ar,107_3p2_Ar_mc_AKGC417L.wav
-284.02896,84.02855,30.585997,35.702534,20.063463,20.139404,14.380726,16.76348,7.8487306,12.492539,6.453953,10.288925,5.268646,Ll,107_3p2_Ll_mc_AKGC417L.wav
-272.9352,84.9117,31.447832,36.09338,15.259485,22.522243,14.091082,13.783931,12.078907,11.40554,4.8886466,10.838073,2.7639177,Lr,107_3p2_Lr_mc_AKGC417L.wav
-387.75613,125.837654,62.451183,45.753544,26.05848,20.461935,12.410333,12.36967,11.288915,12.992564,9.748933,8.947637,6.2992525,Pl,107_3p2_Pl_mc_AKGC417L.wav
-326.54553,116.18833,50.80949,40.589844,26.487339,23.20751,17.16799,14.947714,11.028061,10.229292,7.778621,7.970563,6.659997,Pr,107_3p2_Pr_mc_AKGC417L.wav
-264.1809,148.25809,43.55584,32.421856,31.594845,21.533297,9.082596,11.174948,23.049416,25.69159,11.980056,4.1138434,6.095628,Tc,107_3p2_Tc_mc_AKGC417L.wav
-557.5815,85.29619,70.00566,56.439247,46.33353,38.227222,30.78644,24.56987,20.36115,17.331194,14.520971,11.755701,9.470137,Al,108_1b1_Al_sc_Meditron.wav
-434.82324,70.91049,54.767784,36.43404,21.962675,13.588877,10.895454,12.339971,15.531487,17.690079,17.138165,14.285418,10.742513,Al,109_1b1_Al_sc_Litt3200.wav
-447.8616,82.969894,57.625633,33.594196,19.080982,13.092106,12.270339,14.504068,17.712507,19.123236,17.27624,13.653128,10.757835,Ar,109_1b1_Ar_sc_Litt3200.wav
-432.6898,96.01999,68.312416,38.98983,17.506824,6.9136176,5.8960094,10.476998,16.095493,19.33813,19.126856,16.446991,12.919335,Ll,109_1b1_Ll_sc_Litt3200.wav
-455.34753,97.5365,67.47331,35.971344,15.0779505,7.1472735,8.34297,13.835723,19.533161,22.20097,20.580103,16.190784,11.792287,Lr,109_1b1_Lr_sc_Litt3200.wav
-438.00995,88.88468,65.75387,40.59675,22.637018,14.623047,14.395141,17.998608,21.866156,23.93926,23.62467,21.023155,16.617676,Pl,109_1b1_Pl_sc_Litt3200.wav
-435.1244,90.865295,67.13758,40.511112,20.173458,9.818347,8.719766,13.489034,19.694067,23.820618,24.376375,21.531609,16.424093,Pr,109_1b1_Pr_sc_Litt3200.wav
-424.4464,117.977356,37.243015,10.878362,30.338156,37.11546,23.356802,19.476238,25.42561,20.192253,7.536493,3.6152263,5.5593705,Pr,110_1b1_Pr_sc_Meditron.wav
-374.54614,96.0213,56.84583,36.69474,37.49418,37.966343,28.897135,19.87694,17.759735,18.108727,15.840959,11.644171,7.7153063,Al,110_1p1_Al_sc_Meditron.wav
-331.3719,124.290344,53.115833,26.89014,37.32163,36.72857,20.979595,14.519092,16.158712,11.684025,6.3757544,8.755228,10.718038,Ll,110_1p1_Ll_sc_Meditron.wav
-361.86923,90.06641,56.850853,37.299324,33.048466,31.448322,26.192337,20.81472,17.05567,12.925498,8.848715,7.4100776,8.267961,Lr,110_1p1_Lr_sc_Meditron.wav
-408.2069,66.01657,50.91749,40.06564,35.26111,32.938534,29.519955,24.64891,19.7239,15.741844,12.539756,9.96698,8.659448,Pr,110_1p1_Pr_sc_Meditron.wav
